n	otype	in.subphrase	in.phrase_atom	in.phrase	in.clause_atom	in.clause	in.sentence_atom	in.sentence	in.half_verse	in.verse	in.chapter	in.book	distributional_parent	functional_parent	mother	book	chapter	code	det	dist	dist_unit	domain	freq_lex	freq_occ	function	g_cons	g_cons_utf8	g_lex	g_lex_utf8	g_nme	g_nme_utf8	g_pfm	g_pfm_utf8	g_prs	g_prs_utf8	g_uvf	g_uvf_utf8	g_vbe	g_vbe_utf8	g_vbs	g_vbs_utf8	g_word	g_word_utf8	gloss	gn	instruction	is_root	kind	kq_hybrid	kq_hybrid_utf8	label	language	languageISO	lex	lex0	lex_utf8	lexeme_count	ls	mother_object_type	nametype	nme	nu	number	pargr	pdp	pfm	phono	phono_trailer	prs	prs_gn	prs_nu	prs_ps	ps	qere	qere_trailer	qere_trailer_utf8	qere_utf8	rank_lex	rank_occ	rela	root	sp	st	suffix_gender	suffix_number	suffix_person	tab	trailer	trailer_utf8	txt	typ	uvf	vbe	vbs	verse	voc_lex	voc_lex_utf8	vs	vt
11241	word		911620	658103	517896	429683	1237644	1173906	607524	1414952	426647	426585	911620	658103									185	51		NCB<	נשׁבע	C:B.A<	שְׁבַּע									[		]NI]	נִ	NI45C:B.A45<	נִֽשְׁבַּֽע	swear	m							Hebrew	hbo	CB<[	CB<	שׁבע		none			absent	sg	11241		verb	absent	nˈišbˈaʕ-		absent	unknown	unknown	unknown	p3					257	781			verb	NA	unknown	unknown	unknown		&	־			absent		N		CB<	שׁבע	nif	perf
658104	phrase		911621		517896	429683	1237644	1173906	607524	1414952	426647	426585		429683					det		clause_atoms				Cmpl																																						4																	NA											PP								
911621	phrase_atom			658104	517896	429683	1237644	1173906	607524	1414952	426647	426585	517896	658104					det		clause_atoms																																										6873																	NA											PP								
11242	word		911621	658104	517896	429683	1237644	1173906	607524	1414952	426647	426585	911621	658104									20069	752		LJ	לי	L	ל					#NAME?	ִי							LIJ03	לִי֙	to	NA							Hebrew	hbo	L	L	ל		none			n/a	NA	11242		prep	n/a	lˌî	 	J	unknown	sg	p1	NA					2	47			prep	NA	unknown	sg	p1		 	 			absent	n/a	n/a		L:	לְ	NA	NA
429684	clause		911622	658105	517897		1237644	1173906	607524	1414952	426647	426585		1173906	429683					-1	clause_atoms	Q																										VC											clause				5																	Adju										?NQ	InfC								
517897	clause_atom		911622	658105		429684	1237644	1173906	607524	1414952	426647	426585	1237644	429684	517896			64		-1																										..	FALSE																2224	1.4.1																							8				InfC								
658105	phrase		911622		517897	429684	1237644	1173906	607524	1414952	426647	426585		429684					NA		clause_atoms				Pred																																						1																	NA											VP								
911622	phrase_atom			658105	517897	429684	1237644	1173906	607524	1414952	426647	426585	517897	658105					NA		clause_atoms																																										6874																	NA											VP								
11243	word		911622	658105	517897	429684	1237644	1173906	607524	1414952	426647	426585	911622	658105									20069	15641		L	ל	L;-	לֵ													L;-	לֵ	to	NA							Hebrew	hbo	L	L	ל		none			n/a	NA	11243		prep	n/a	lē		absent	unknown	unknown	unknown	NA					2	2			prep	NA	unknown	unknown	unknown						absent	n/a	n/a		L:	לְ	NA	NA
11244	word		911622	658105	517897	429684	1237644	1173906	607524	1414952	426647	426585	911622	658105									5307	1911		>MR	אמר	>MOR	אמֹר	/	֜	!!						[				>MO80R	אמֹ֔ר	say	unknown							Hebrew	hbo	>MR[	>MR	אמר		quot				unknown	11244		verb		ʔmˈōr	 	absent	unknown	unknown	unknown	unknown					11	20			verb	a	unknown	unknown	unknown		 	 			absent		absent		>MR	אמר	qal	infc
1173907	sentence				517898	429685	1237645		607524	1414952	426647	426585																																																			15																																				
1237645	sentence_atom				517898	429685		1173907	607524	1414952	426647	426585		1173907																																																	1629																																				
429685	clause				517898		1237645	1173907	607524	1414952	426647	426585		1173907							clause_atoms	Q																										VC											clause				1																	NA										?NQQ	xYq0								
517898	clause_atom					429685	1237645	1173907	607524	1414952	426647	426585	1237645	429685	517897			999		-1																										.q	FALSE																2225	1.4.1.1																							9				xYq0								
658106	phrase		911623		517898	429685	1237645	1173907	607524	1414952	426647	426585		429685					det		clause_atoms				Cmpl																																						1																	NA											PP								
911623	phrase_atom			658106	517898	429685	1237645	1173907	607524	1414952	426647	426585	517898	658106					det		clause_atoms																																										6875																	NA											PP								
11245	word		911623	658106	517898	429685	1237645	1173907	607524	1414952	426647	426585	911623	658106									20069	15641		L	ל	L:-	לְ													L:-	לְ	to	NA							Hebrew	hbo	L	L	ל		none			n/a	NA	11245		prep	n/a	lᵊ		absent	unknown	unknown	unknown	NA					2	2			prep	NA	unknown	unknown	unknown						absent	n/a	n/a		L:	לְ	NA	NA
11246	word		911623	658106	517898	429685	1237645	1173907	607524	1414952	426647	426585	911623	658106									229	68		ZR<K	זרעך	ZAR:<:A	זַרְעֲ	/	֜			+K@	כָ							ZA63R:<:AK@80	זַ֨רְעֲךָ֔	seed	m							Hebrew	hbo	ZR</	ZR<	זרע		none				sg	11246		subs	n/a	zˌarʕᵃḵˈā	 	K	m	sg	p2	NA					209	591			subs	a	m	sg	p2		 	 			absent	n/a	n/a		ZERA<	זֶרַע	NA	NA
658107	phrase		911624		517898	429685	1237645	1173907	607524	1414952	426647	426585		429685					NA		clause_atoms				Pred																																						2																	NA											VP								
911624	phrase_atom			658107	517898	429685	1237645	1173907	607524	1414952	426647	426585	517898	658107					NA		clause_atoms																																										6876																	NA											VP								
